TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,INPUT TKT TYPE,INPUT FARE DTLS(Total Fare),OUTPUT FARE DTLS(Total Fare),EXECUTION STATUS,PNR in NxtGen,PSGN CONC DTLS
TC_109397,109397,13104 - BHAGIRATHI EXP,02/07/2020,RHA - RANAGHAT JN,SDAH - SEALDAH,CHAIR CAR - CC,GENERAL - GN,4,RHA,SDAH,E,1060.00,1060,BOOKED OK,PNR No: 6641074607,1%%#2%%#3%%#4%%#,
TC_109398,109398,13104 - BHAGIRATHI EXP,03/07/2020,BEB - BELDANGA,SDAH - SEALDAH,CHAIR CAR - CC,GENERAL - GN,3,PLY,SDAH,E,930.00,930,BOOKED OK,PNR No: 6141074588,1%%#2%%#3%%#,
TC_109399,109399,13104 - BHAGIRATHI EXP,06/07/2020,BEB - BELDANGA,SDAH - SEALDAH,SECOND SITTING - 2S,GENERAL - GN,1,BEB,SDAH,S,85.00,85,BOOKED OK,PNR No: 6641074608,1%%#,
TC_109401,109401,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,RHA - RANAGHAT JN,SECOND SITTING - 2S,GENERAL - GN,1,BPC,RHA,S,70.00,70,BOOKED OK,PNR No: 6141074589,1%%#,
TC_109402,109402,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,SDAH - SEALDAH,SECOND SITTING - 2S,GENERAL - GN,1,BPC,SDAH,S,90.00,90,BOOKED OK,PNR No: 6641074609,1%%#,
TC_109403,109403,13104 - BHAGIRATHI EXP,07/07/2020,BPC - BERHAMPORE CRT,SDAH - SEALDAH,SECOND SITTING - 2S,GENERAL - GN,1,BPC,SDAH,S,90.00,90,BOOKED OK,PNR No: 6141074590,1%%#,
TC_109487,109487,13106 - BUI SDAH EXP,05/07/2020,SPP - SHAHPUR PATOREE,SDAH - SEALDAH,THIRD AC - 3A,GENERAL - GN,4,SPP,SDAH,E,3380.00,3380,BOOKED OK,PNR No: 2109696867,1%%#2%%#3%%#4%%#,
TC_109488,109488,13106 - BUI SDAH EXP,06/07/2020,CPR - CHHAPRA,BDC - BANDEL JN,SLEEPER - SL,GENERAL - GN,4,CPR,BDC,S,1320.00,1320,BOOKED OK,PNR No: 2756995807,1%%#2%%#3%%#4%%#,
TC_109491,109491,13106 - BUI SDAH EXP,08/07/2020,CPR - CHHAPRA,SDAH - SEALDAH,SLEEPER - SL,GENERAL - GN,1,CPR,SDAH,S,350.00,350,BOOKED OK,PNR No: 2109696869,1%%#,
TC_170460,170460,19270 - PBR EXPRESS,05/07/2020,NKE - NARKATIAGANJ JN,ADI - AHMEDABAD JN,SECOND AC - 2A,GENERAL - GN,2,NKE,ADI,E,5510.00,5510,BOOKED OK,PNR No: 6641074610,1%%#2%%#,
TC_170461,170461,19270 - PBR EXPRESS,05/07/2020,NKE - NARKATIAGANJ JN,DLI - DELHI,THIRD AC - 3A,GENERAL - GN,4,NKE,DLI,E,4920.00,4920,BOOKED OK,PNR No: 6141074591,1%%#2%%#3%%#4%%#,
TC_170462,170462,19270 - PBR EXPRESS,05/07/2020,NKE - NARKATIAGANJ JN,LKO - LUCKNOW NR,THIRD AC - 3A,GENERAL - GN,3,NKE,LKO,E,2115.00,2115,BOOKED OK,PNR No: 6641074611,1%%#2%%#3%%#,
TC_170463,170463,19270 - PBR EXPRESS,05/07/2020,NKE - NARKATIAGANJ JN,SUNR - SURENDRANAGAR,SLEEPER - SL,GENERAL - GN,1,NKE,SUNR,S,755.00,755,BOOKED OK,PNR No: 6141074592,1%%#,
TC_170733,170733,19306 - KYQ INDB EXP,13/07/2020,GCT - GHAZIPUR CITY,DADN - DR AMBEDKAR NGR,SLEEPER - SL,GENERAL - GN,2,GCT,DADN,S,1100.00,1100,BOOKED OK,PNR No: 6641074612,1%%#2%%#,
TC_170734,170734,19306 - KYQ INDB EXP,13/07/2020,LKO - LUCKNOW NR,INDB - INDORE JN BG,SECOND AC - 2A,GENERAL - GN,2,LKO,INDB,E,3350.00,3350,BOOKED OK,PNR No: 6141074593,1%%#2%%#,
TC_170736,170736,19306 - KYQ INDB EXP,26/07/2020,NNA - NAUGACHIA,DADN - DR AMBEDKAR NGR,THIRD AC - 3A,GENERAL - GN,1,NNA,DADN,E,1760.00,1760,BOOKED OK,PNR No: 6141074594,1%%#,
TC_170737,170737,19307 - CHANDIGARH EXP,02/07/2020,AGC - AGRA CANTT,UMB - AMBALA CANT JN,SLEEPER - SL,GENERAL - GN,1,AGC,UMB,S,245.00,245,BOOKED OK,PNR No: 8130995624,1%%#,
TC_170738,170738,19307 - CHANDIGARH EXP,02/07/2020,INDB - INDORE JN BG,CDG - CHANDIGARH,SECOND AC - 2A,SOURCE_STATION - SS,1,INDB,CDG,E,2025.00,2025,BOOKED OK,PNR No: 8630995644,1%%#,
TC_187288,187288,22318 - HUMSAFAR SF,01/07/2020,LDH - LUDHIANA JN,SDAH - SEALDAH,THIRD AC - 3A,GENERAL - GN,6,LDH,SDAH,E,12510.00,12510,BOOKED OK,PNR No: 2109696870,1%%#2%%#3%%#4%%#5%%#6%%#,
TC_187289,187289,22318 - HUMSAFAR SF,01/07/2020,MB - MORADABAD,SDAH - SEALDAH,THIRD AC - 3A,GENERAL - GN,3,MB,SDAH,E,5340.00,5340,BOOKED OK,PNR No: 2756995810,1%%#2%%#3%%#,
TC_187290,187290,22318 - HUMSAFAR SF,01/07/2020,UMB - AMBALA CANT JN,ASN - ASANSOL JN,THIRD AC - 3A,GENERAL - GN,1,UMB,ASN,E,1840.00,1840,BOOKED OK,PNR No: 2109696871,1%%#,
TC_187291,187291,22318 - HUMSAFAR SF,01/07/2020,UMB - AMBALA CANT JN,BSB - VARANASI JN,THIRD AC - 3A,GENERAL - GN,1,UMB,BSB,E,1425.00,1425,BOOKED OK,PNR No: 2756995811,1%%#,
TC_200049,200049,22955 - KUTCH EXPRESS,07/08/2020,NVS - NAVSARI,BHUJ - BHUJ,SLEEPER - SL,GENERAL - GN,2,NVS,BHUJ,E,760.00,760,BOOKED OK,PNR No: 8804332665,1%%#2%%#,
