TEST CASEID,REC NO,TRAINNo,JRNY DATE(MM-DD-YYYY),SOURCE STN CODE,DESTN STN CODE,CLS CODE,QUOTA CODE,PSGN COUNT,BRDG_STNCODE,RESVN_UPTO_STNCODE,TICKET TYPE,EXECUTION STATUS,ERROR SNAP NAME
TC_1836,1836,11013,07-26-2020,KYN,CBE,3A,GN,6,SUR,CBE,E,FAILED,Refer Image: TC_1836exceptionImage2020-06-05_04_16_11.png,
TC_1837,1837,11013,07-26-2020,KYN,ED,3A,GN,2,SUR,ED,E,FAILED,Refer Image: TC_1837exceptionImage2020-06-05_04_16_11.png,
TC_1838,1838,11013,07-27-2020,MALM,CBE,SL,GN,5,MALM,CBE,E,FAILED,Refer Image: TC_1838exceptionImage2020-06-05_04_16_11.png,
TC_1839,1839,11013,07-27-2020,SUR,CBE,2A,GN,2,SUR,CBE,E,FAILED,Refer Image: TC_1839exceptionImage2020-06-05_04_16_11.png,
TC_1840,1840,11013,07-27-2020,SUR,CBE,3A,GN,3,SUR,CBE,E,FAILED,Refer Image: TC_1840exceptionImage2020-06-05_04_16_11.png,
TC_1841,1841,11013,07-27-2020,SUR,CBE,3A,GN,4,SUR,CBE,E,FAILED,Refer Image: TC_1841exceptionImage2020-06-05_04_16_11.png,
TC_1842,1842,11013,07-27-2020,SUR,CBE,3A,GN,6,SUR,CBE,E,FAILED,Refer Image: TC_1842exceptionImage2020-06-05_04_16_11.png,
TC_1843,1843,11013,07-27-2020,SUR,CBE,3A,GN,6,SUR,CBE,E,FAILED,Refer Image: TC_1843exceptionImage2020-06-05_04_16_11.png,
TC_1844,1844,11013,07-28-2020,SBC,CBE,SL,GN,1,SBC,CBE,E,FAILED,Refer Image: TC_1844exceptionImage2020-06-05_04_16_11.png,
TC_109400,109400,13104,07-06-2020,BPC,SDAH,2S,GN,1,BPC,SDAH,E,FAILED,Refer Image: TC_109400exceptionImage2020-06-05_04_16_11.png,
TC_200050,200050,22955,08-08-2020,BDTS,BH,SL,GN,1,BDTS,BH,E,FAILED,Refer Image: TC_200050exceptionImage2020-06-05_04_16_11.png,
TC_202759,202759,58011,07-04-2020,HWH,PRR,SL,GN,5,HWH,PRR,S,FAILED,Refer Image: TC_202759exceptionImage2020-06-05_04_16_11.png,
TC_203304,203304,82654,07-11-2020,JP,RC,SL,GN,2,JP,RC,S,FAILED,Refer Image: TC_203304exceptionImage2020-06-05_04_16_11.png,
TC_203305,203305,82654,07-11-2020,JP,RC,SL,GN,6,JP,RC,S,FAILED,Refer Image: TC_203305exceptionImage2020-06-05_04_16_11.png,
TC_203306,203306,82654,07-12-2020,AII,YPR,SL,GN,2,AII,YPR,E,FAILED,Refer Image: TC_203306exceptionImage2020-06-05_04_16_11.png,
TC_203307,203307,82654,08-01-2020,JP,YPR,SL,GN,1,JP,YPR,E,FAILED,Refer Image: TC_203307exceptionImage2020-06-05_04_16_11.png,
TC_203274,203274,82355,07-12-2020,PCOI,CSMT,SL,GN,5,PCOI,CSMT,E,FAILED,Refer Image: TC_203274exceptionImage2020-06-05_04_16_11.png,
TC_203275,203275,82355,07-19-2020,PCOI,CSMT,SL,GN,1,PCOI,CSMT,E,FAILED,Refer Image: TC_203275exceptionImage2020-06-05_04_16_11.png,
TC_203277,203277,82356,07-07-2020,CSMT,PCOI,SL,GN,2,CSMT,PCOI,E,FAILED,Refer Image: TC_203277exceptionImage2020-06-05_04_16_11.png,
TC_203281,203281,82356,07-17-2020,CSMT,PCOI,SL,GN,1,CSMT,PCOI,E,FAILED,Refer Image: TC_203281exceptionImage2020-06-05_04_16_11.png,
TC_203245,203245,59547,07-04-2020,RJT,DWK,SL,GN,1,RJT,DWK,S,FAILED,Refer Image: TC_203245exceptionImage2020-06-05_04_16_11.png,
TC_203246,203246,59547,07-04-2020,RJT,DWK,SL,GN,2,RJT,DWK,S,FAILED,Refer Image: TC_203246exceptionImage2020-06-05_04_16_11.png,
TC_203287,203287,82356,07-28-2020,CSMT,PNBE,SL,GN,2,CSMT,PNBE,E,FAILED,Refer Image: TC_203287exceptionImage2020-06-05_04_16_11.png,
TC_203245,203245,59547,07-04-2020,RJT,DWK,SL,GN,1,RJT,DWK,S,FAILED,Refer Image: TC_203245exceptionImage2020-06-05_04_16_11.png,
TC_109400,109400,13104,07-06-2020,BPC,SDAH,2S,GN,1,BPC,SDAH,E,FAILED,Refer Image: TC_109400exceptionImage2020-06-05_04_16_11.png,
TC_203304,203304,82654,07-11-2020,JP,RC,SL,GN,2,JP,RC,S,FAILED,Refer Image: TC_203304exceptionImage2020-06-05_04_16_11.png,
